Issue key,Issue id,Status,Created,Updated,Custom field (Implementation Planned End Date),Custom field (Implementation Planned Start Date),Assignee,Custom field (Closed Date),Creator,Custom field (Defect Type),Custom field (Environment),Custom field (Feature Link),Custom field (How I Fixed (Resolution Provided)),Custom field (How It Happened? (Root Cause)),Summary,Custom field (Test Type)
INSBFOS-850,290437,Closed,15/Feb/23 5:17 PM,03/Mar/23 10:24 PM,,,C003602,03/Mar/23 10:24 PM,C003602,Program Error,Pre-Prod,INSBFOS-162,We have provided fixes for cosmetic issue at OTP screen. Kindly deploy latest source from RC-50 and check.,To be filled-up by developer upon fixes,[Quest-5589][INSBFOS-162]#Defect 13: Screen cosmetic issue at OTP screen,Operation Readiness Test (ORT)
INSBFOS-849,290424,Closed,15/Feb/23 5:15 PM,22/Feb/23 2:36 PM,,,C003602,22/Feb/23 2:36 PM,C003602,Others,Pre-Prod,INSBFOS-162,"Patch script provided,
UPDATE EIS_GENERAL_PARAMETERS SET VCH_PARAM_VALUE = 'https://api.infobip-portal.com/rhb/getFile/%s/%s' WHERE VCH_PARAM_NAME = 'INFOBIP_MEDIA_URL' AND CHR_ACTIVE_STATUS = 'Y';
 COMMIT;
 
  Note : Same script has been committed in RC-50 branch.
",InfoBip vendor request us to amend on the MediaURL due to their limitation so that's the reason there was PDF issue.,[Quest-5589][INSBFOS-162]#Defect 14: Unable to send quote thru WhatsApp when using jpj data and non jpj data,Operation Readiness Test (ORT)
INSBFOS-848,290421,Rejected,15/Feb/23 5:13 PM,20/Feb/23 2:35 PM,,,C002974,,462587,Program Error,UAT,INSBFOS-423,To be filled-up by developer upon fixes,To be filled-up by developer upon fixes,[QUEST-7380/INSBFOS-423] UAT Defect 01:Reference number not found in agent refer risk approval screen,UAT
INSBFOS-838,289606,READY FOR TEST,15/Feb/23 9:03 AM,13/Apr/23 10:08 AM,,,453228,,453003,Program Error,UAT,,To be filled-up by developer upon fixes,To be filled-up by developer upon fixes,[QUEST-5354][INSBFOS-284] Defect #1-No active policy return to Diamond,UAT
INSBFOS-781,279465,Closed,30/Jan/23 2:50 PM,21/Feb/23 3:38 PM,,,462502,21/Feb/23 3:38 PM,461631,Program Error,Pre-Prod,INSBFOS-192,password expired and renewed & updated.,password expired and renewed & updated.,[QUEST-5584][INSBFOS-192] #Defect 1: Fire Job 150b in Jenkins unable to run.,
INSBFOS-780,278605,Closed,27/Jan/23 4:50 PM,23/May/23 8:32 AM,,,459775,03/Feb/23 11:24 AM,462587,Program Error,UAT,INSBFOS-712,"Item effective from date order is changed and files committed in mentioned  branch.
Branch Name : release/rc-1.50.0-12DEC2022
FileList:    motor/ApplicationSource/src/main/java/com/kgisl/nsure/corresletters/dao/PrintSQL.java
",,[QUEST-8528/INSBFOS-780] #Defect 01: Document didn't print out the latest pdf as expected result,UAT
INSBFOS-779,278340,Closed,27/Jan/23 12:49 PM,17/Feb/23 3:32 PM,,,C003602,17/Feb/23 3:28 PM,C003602,Program Error,,INSBFOS-162,limitation on WhatsApp API that mediaUrl does not support some special character '?’,change the MediaUrl format as per given by InfoBip,[Quest-5589][INSBFOS-162]#Defect 12: Unable to send quote to WhatsApp after deploy ,
INSBFOS-742,274096,Closed,13/Jan/23 4:40 PM,16/Feb/23 6:19 PM,,,453228,16/Feb/23 6:19 PM,461631,Program Error,UAT,INSBFOS-192,,,[QUEST-5584][INSBFOS-192] #Defect 1:Non-Motor Renewal Centre cannot integrate Diamond-GIS-Diamond.,
INSBFOS-740,273831,Closed,13/Jan/23 10:46 AM,22/Feb/23 9:11 PM,,,C003602,22/Feb/23 9:11 PM,462502,Others,Pre-Prod,INSBFOS-162,The JPJ status require to update by the service. Manually update the status will not trigger the email process.,The JPJ status require to update by the service. Manually update the status will not trigger the email process.,[Quest-5589][INSBFOS-162]#Defect 11: Did not receive email when JPJ rejected,Operation Readiness Test (ORT)
INSBFOS-738,273668,Closed,12/Jan/23 4:13 PM,14/Mar/23 11:18 AM,,,462587,16/Jan/23 9:39 AM,462587,Program Error,UAT,INSBBOS-200,The issue is due to EIS_MST_OTS_COMMISSION table is not available in Database,The issue is due to EIS_MST_OTS_COMMISSION table is not available in Database,[QUEST-7711/INSBFOS-738] #Defect 02: Total premium is zero for Marine Open Cover,UAT
INSBBOS-316,273512,Closed,12/Jan/23 3:56 PM,03/Feb/23 9:42 AM,,,C003999,03/Feb/23 9:42 AM,C003999,Program Error,UAT,INSBBOS-200,The integration job is not latest in the test environment.,The integration job is not latest in the test environment.,[QUEST-7711][INSBBOS-200]UAT Defect 01: CN Not able to integrate to GIS,UAT
INSBFOS-711,270998,Closed,09/Jan/23 9:13 AM,22/Feb/23 2:38 PM,,,C003602,22/Feb/23 2:38 PM,C003602,Program Error,Pre-Prod,INSBFOS-162,"The below reported Item is fixed and committed in mentioned branch. Kindly take latest check and confirm.

         Branch Name :  release/rc-1.50.0-12DEC2022

         File list:
            Database/PACKAGE/PKG_MOTOR_SCHEDULE.sql",,[Quest-5589][INSBFOS-162]#Defect 10: Unable to receive Mail to customer when cove note generate with refer risk,Operation Readiness Test (ORT)
INSBFOS-699,270479,Closed,05/Jan/23 4:02 PM,22/Feb/23 2:37 PM,,,C003602,22/Feb/23 2:37 PM,C003602,Program Error,Pre-Prod,INSBFOS-162," The Chinese Language display issue(Unreadable) in WhatsApp Template setup screen has been resolved. Please find file details below.

  Branch : release/rc-1.50.0-12DEC2022
  Files : motor/ApplicationSource/src/main/java/com/kgisl/nsure/systemsettings/controller/SystemSettingsController.java

Regards,
Diamond Support Team",There is a difference in language code used between WhatsApp template and Diamond master table configuration.,[Quest-5589][INSBFOS-162]#Defect 9: Unable to sent WhatsApp message for Chinese template,Operation Readiness Test (ORT)
INSBFOS-698,270474,Closed,05/Jan/23 3:26 PM,22/Feb/23 2:37 PM,,,C003602,22/Feb/23 2:37 PM,C003602,Program Error,Pre-Prod,INSBFOS-162,"The Chinese Language display issue(Unreadable) in WhatsApp Template setup screen has been resolved. Please find file details below.

  Branch : release/rc-1.50.0-12DEC2022
  Files : motor/ApplicationSource/src/main/java/com/kgisl/nsure/systemsettings/controller/SystemSettingsController.java

Regards,
Diamond Support Team","The issue due to some characters encoding problem while saving template content in database. We are analysis the root cause and will update findings soon.

   Note : Diamond system will use 'template name' & 'place holders' alone from this setup data in order to send WhatsApp message. So, this issue will not create any functional impact on sending messages. You can proceed testing with this template also.",[Quest-5589][INSBFOS-162]#Defect 8: Chinese Language Template not able to display correctly after setup,Operation Readiness Test (ORT)
INSBFOS-696,269551,Closed,04/Jan/23 9:46 AM,24/Feb/23 2:55 PM,,,C003602,24/Feb/23 2:55 PM,C003602,Program Error,Pre-Prod,INSBFOS-162,Stamping is not required as well for whatsapp CN,Stamping is not required as well for whatsapp CN,[Quest-5589][INSBFOS-162]#Defect 7: Payment mode not updated in client profile,Operation Readiness Test (ORT)
INSBFOS-695,268902,Closed,03/Jan/23 12:23 PM,23/Feb/23 4:29 PM,,,C003602,23/Feb/23 4:29 PM,C003602,Program Error,Pre-Prod,INSBFOS-162,To update production URL for both 'MPGS_GATEWAY' & 'MPGS_PRE_AUTH_GATEWAY' configuration and retry.,"Because below type of configuration will throwing error while displaying payment page due to session data conflicts.
     MPGS_GATEWAY -> Testing URL & MPGS_PRE_AUTH_GATEWAY - Production URL

   Note: server needs to be restarted after updating configuration details.",[Quest-5589][INSBFOS-162]#Defect 6: Unable to proceed payment for Refer Risk case,Operation Readiness Test (ORT)
INSBFOS-694,268019,New,29/Dec/22 3:43 PM,24/Jan/23 10:46 AM,,,V002436,,C005015,Program Error,Production,,,,"ESOA | Premium mismatch between Paymentmaster and paymentitem",
INSBFOS-693,268016,New,29/Dec/22 3:33 PM,31/Dec/22 2:00 AM,,,V002436,,C005015,Program Error,Production,,,,"Medical | System unable to display policies for renewal issuance",
INSBFOS-689,267171,Closed,27/Dec/22 2:21 PM,10/Mar/23 9:50 AM,,,C003602,10/Mar/23 9:50 AM,C003602,Program Error,Pre-Prod,INSBFOS-478,,,	[Quest-5086][INSBFOS-478] Defect 2 : Error after click print and send to JPJ,UAT
INSBBOS-309,265697,Review In progress,20/Dec/22 1:18 PM,25/Jul/23 10:18 AM,,,198753,,407699,Program Error,Production,,,,[BAU-Production Support] CBC blocked not immediately released after payment done ,
INSBBOS-288,264030,Closed,15/Dec/22 4:12 PM,16/Dec/22 11:00 AM,,,C003602,16/Dec/22 11:00 AM,C003602,Program Error,UAT,INSBBOS-197,library file missing compilation script,include the library file to compilation script,[Quest-7473][INSBFOS-197] #Defect 1: Error to enquire endorsement,UAT
INSBFOS-638,262215,Closed,09/Dec/22 4:42 PM,22/Feb/23 9:11 PM,,,C003602,22/Feb/23 9:11 PM,C003602,Program Error,,INSBFOS-478,firewall not open,opened firewall for this environment.,[Quest-5086][INSBFOS-478] Defect 1 : Swagger not working ,
INSBFOS-629,257583,Closed,30/Nov/22 6:38 PM,12/Dec/22 11:45 AM,,,C003602,12/Dec/22 11:45 AM,C003602,Program Error,UAT,INSBFOS-162,KG: Report query filter has been modified to fetch exact result based on the applied filter.,KG: Vehicle type field wrongly mapped in report search query causes invalid search result.,[Quest-5589][INSBFOS-162]#Defect 5: Error in Filtering in Whatsapp Message Sent report,UAT
INSBFOS-583,257009,Closed,29/Nov/22 6:01 PM,13/Dec/22 5:34 PM,,,461631,13/Dec/22 5:34 PM,461631,Data Error,UAT,INSBFOS-387,Code has been changed now able to generate AML MQ Request and Response Log Report for motor endorsement module.,AML MQ Request and Response Log Report is not handled for motor endorsement module.,[QUEST-6919][INSBFOS-387] #Defect 7:AML MQ Request and Response Log Report do not generate,Operation Readiness Test (ORT)
INSBFOS-484,256645,Closed,29/Nov/22 9:34 AM,03/Mar/23 2:45 PM,,,C003602,22/Feb/23 2:36 PM,C003602,Program Error,UAT,INSBFOS-162,Configure the MPGS point to production env.,The setting is point to MPGS test env.,[Quest-5589][INSBFOS-162] #Defect 4: Unable to proceed for payment,UAT
INSBFOS-481,256426,Closed,25/Nov/22 6:04 PM,15/Aug/23 3:06 PM,,,461631,13/Dec/22 5:25 PM,461631,Clarification,Pre-Prod,INSBFOS-387,Changes the JPJ status from Sent to Approve.,JPJ status is not changed to Approve before intetgrate with GIS,[QUEST-6919][INSBFOS-387] #Defect 6:Unable to integrate new business MOTOR from Diamond to GIS,Operation Readiness Test (ORT)
INSBFOS-480,256423,Closed,25/Nov/22 5:47 PM,02/Dec/22 2:01 PM,,,C003602,02/Dec/22 2:01 PM,461631,Others,Pre-Prod,INSBFOS-387,configuration update,wrong configuration in online insurance,[QUEST-6919][INSBFOS-387] #Defect 5:Unable to complete payment in OI.,Operation Readiness Test (ORT)
INSBFOS-477,256168,Closed,25/Nov/22 9:58 AM,29/Nov/22 12:51 PM,,,C003602,29/Nov/22 12:51 PM,C003602,Environment Error,UAT,INSBFOS-162,connect with the rule engine database,the SIT Rule Engine database not connectable,[Quest-5589][INSBFOS-162]#Defect 3: Motor premium not display,UAT
INSBFOS-476,255864,Closed,24/Nov/22 5:57 PM,29/Nov/22 12:47 PM,,,C003602,29/Nov/22 12:47 PM,C003602,Others,Pre-Prod,INSBFOS-387,re-execute the package PKG_DI_FW_COVERNOTE.,"Regression Package is not latest.


",[QUEST-6919][INSBFOS-387] #Defect 4: Unable to integrate FW,Operation Readiness Test (ORT)
INSBFOS-474,255564,Closed,24/Nov/22 10:40 AM,29/Nov/22 11:18 AM,,,461631,24/Nov/22 3:40 PM,461631,Data Error,Pre-Prod,INSBFOS-387,Resolution: BA requested for new set of test data from AML team. and we had tested the new set of test data and passed the test cases.,"Root cause: the test data that provided by AML team was incompleted.

",[QUEST-6919][INSBFOS-387] #Defect 3:Response code is not tally with expected result,Operation Readiness Test (ORT)
INSBFOS-463,254425,Closed,22/Nov/22 5:09 PM,29/Nov/22 11:18 AM,,,C003602,29/Nov/22 10:05 AM,C003602,,Pre-Prod,INSBFOS-387,enabled AML UAT real time in regression,"Simulation mode enabled in CR environment, AML Response will be same for all requests(i.e. hardcoded - WC-Sanctions).",[Quest-6919][NSBFOS-387] #Defect02 : system Route for Customer Screening Approval when passport No is end with digit -1,Operation Readiness Test (ORT)
INSBFOS-462,254390,Closed,22/Nov/22 4:20 PM,13/Dec/22 5:20 PM,,,461631,13/Dec/22 5:20 PM,461631,Data Error,UAT,INSBFOS-387,Code has been changed now able to generate AML MQ Request and Response Log Report for motor others module.,AML MQ Request and Response Log Report is not handled for motor others module.,[QUEST-6919][INSBFOS-387] #Defect 1:AML MQ Request and Response Log Report do not generate,UAT
INSBFOS-461,253882,Closed,21/Nov/22 12:02 PM,29/Nov/22 11:19 AM,,,453228,29/Nov/22 9:53 AM,C005922,Requirement Error,UAT,INSBFOS-186,changes in the code level for the status update condition,Status update condition not handling well in this issue.,"[QUEST-5521/INSBFOS-186] ""Cancellation Letter"" and ""GST Credit Note"" are not disable in the Cancellation Enquiry screen",
INSBFOS-457,251912,Closed,15/Nov/22 12:20 PM,29/Nov/22 11:19 AM,,,453228,29/Nov/22 10:30 AM,C003520,Program Error,,INSBFOS-186,"Changes in the code level, to modify the status update condition",status update condition missing the handling for this reported issue.,[QUEST-5521/INSBFOS-186] Diamond Motor JPJ status is Blank after CN cancelled,UAT
INSBFOS-454,251685,Closed,14/Nov/22 5:44 PM,29/Nov/22 11:19 AM,,,453228,29/Nov/22 9:54 AM,C005922,Program Error,UAT,INSBFOS-186,Changes in code level to handle this issue,program missing handling,[QUEST-5521/INSBFOS-186] JPJ Status shows 'Accepted by JPJ' in Client Profile,UAT
INSBFOS-453,251329,Closed,14/Nov/22 11:05 AM,29/Nov/22 11:19 AM,,,453228,29/Nov/22 9:55 AM,C005922,Program Error,UAT,INSBFOS-186,DBA helped to investigate and restarted the services of Diamond Rule Engine.,Diamond Rule Engine services down,CLONE - [QUEST-5521/INSBFOS-186] Diamond at Premium tab NCD Vehicle number & Premium details are blank,UAT
INSBBOS-175,250587,Closed,10/Nov/22 3:02 PM,15/Nov/22 4:10 PM,,,461587,15/Nov/22 4:09 PM,461587,Program Error,UAT,INSBBOS-34,,,[QUEST-3955/INSBBOS-34] #Defect 01: Motor Endorsement Screen Issue,UAT
INSBFOS-444,250520,Closed,10/Nov/22 12:26 PM,29/Nov/22 11:19 AM,,,453228,15/Nov/22 12:12 PM,C005922,Program Error,,INSBFOS-186,Table EIS_MST_CN_OPTION_LINK is not created and no configuration data in the table as well,"Create table for EIS_MST_CN_OPTION_LINK
insert all configuration data into EIS_MST_CN_OPTION_LINK",[QUEST-5521/INSBFOS-186] Diamond Motor Unable to Cancel the CN in Client Profile screen,UAT
INSBFOS-443,249629,Closed,09/Nov/22 12:10 PM,08/Dec/22 11:07 AM,,,453228,08/Dec/22 11:07 AM,461632,Program Error,UAT,INSBFOS-291,"We had provided a short-term solution:-
To manually patch the data configuration into the correct column in DB level, in order to allow the testing team to continue and proceed.

Long-term solution:-
We are still getting the requirement for the correct field to stamp into system.","the issue found in error log is due to the GIS_SUB_PLAN_CODE value exceed 3 characters.
Sample data of GIS_SUB_PLAN_CODE = [MSB, MDS]

while we upload the excel document through Diamond screen 
Path: Administration - Accident & Healthy Management - Product Cover Details
the field stamped into the wrong DB column and caused the program not able to pickup the value correctly.
",[QUEST-5666/INSBFOS-291]Defect 03: The proposal form and auto-debit form page are blank and Unable to get Covernote,UAT
INSBFOS-441,249363,Closed,08/Nov/22 10:22 PM,29/Nov/22 11:19 AM,,,C003520,09/Nov/22 5:58 PM,C003520,Program Error,UAT,INSBFOS-186,Package need to recompile,Package not latest,"Defect [UAT] [QUEST-5521/INSBFOS-186] Diamond Motor issue while click on - ""Print and Send to JPJ""",UAT
INSBFOS-439,249001,Closed,08/Nov/22 9:31 AM,08/Dec/22 10:56 AM,,,453228,08/Dec/22 10:56 AM,461632,Data Error,UAT,INSBFOS-291,This is a data error,This is a data error,[QUEST-5666/INSBFOS-291]Defect 02: Unable to display Questionnaire when update covernote for date 3/11/2022,UAT
INSBBOS-160,247307,New,04/Nov/22 9:47 AM,04/Nov/22 9:47 AM,,,401181,,198999,Program Error,,,,,[Production Issue] System prompt error message during endorsement confirmation - PA,
INSBFOS-428,247123,Closed,03/Nov/22 5:42 PM,29/Nov/22 11:19 AM,,,453228,29/Nov/22 10:32 AM,C003520,Others,UAT,INSBFOS-186,No fixes,"We will not provide the Jenkins batch to run for JPJ status update procedure as the new batch job are still in development and testing stage.

thus, in order to proceed, QA/Users are required to trigger the JPJ Status Update procedure command in SQL developer directly.
Remark: This situation will only happen in testing environment as production will have a the complete set of auto trigger procedure for the JPJ status update.",[QUEST-5521/INSBFOS-186] Jenkins batch job not yet setup,UAT
INSBFOS-422,246871,Closed,03/Nov/22 11:52 AM,29/Nov/22 11:17 AM,,,453228,04/Nov/22 9:48 AM,C003520,Program Error,UAT,INSBFOS-186,Deploy the missing table creation script,Table not found,[QUEST-5521/INSBFOS-186] Diamond at Premium tab NCD Vehicle number & Premium details are blank,UAT
INSBBOS-158,246835,Review In progress,03/Nov/22 11:36 AM,12/Sep/23 4:02 PM,,,401181,,407699,Program Error,Production,,,,[Production Support]Diamond send wrong batch No. for manual credit card,
INSBFOS-415,246321,Closed,02/Nov/22 8:57 AM,29/Nov/22 11:18 AM,,,461632,03/Nov/22 5:53 PM,461632,Program Error,UAT,INSBFOS-291,Due to complex query and data handling in program. the request took more time to process the data. I have optimized the query to reduce looping and move the data handling part from JS to java to increase the performance and response time. This solved the issue,"Due to longer response time, the data not rendered into frontend to display plan details",[QUEST-5666/INSBFOS-291]Defect 01: Unable to Display the Plan Details,UAT
INSBFOS-385,243852,Closed,25/Oct/22 5:52 PM,29/Nov/22 11:18 AM,,,461631,27/Oct/22 11:58 AM,461631,Program Error,UAT,INSBFOS-352,The issue is due the file having different name in application server,The issue is due the file having different name in application server,[Quest-6462][INSBFOS-352] #Defect 01: eFlyers not display for reprint document.,UAT
INSBBOS-150,242365,Closed,20/Oct/22 11:27 AM,02/Nov/22 11:54 AM,,,C003602,02/Nov/22 11:54 AM,C003602,Program Error,UAT,INSBBOS-61,assign overwritten Char Rate% to calculate perils premium,wrong Char Rate% was assign to do perils calculation.,[Quest-5555][INSBFOS-61] #Defect04 : Peril not reflect ,UAT
INSBBOS-142,241084,Closed,18/Oct/22 11:14 AM,18/Oct/22 2:36 PM,,,C003602,18/Oct/22 2:36 PM,C003602,Program Error,UAT,INSBBOS-61,valid detariff rate checking apply after Risk Grade Field.,"valid detariff rate checking shouldn't apply at Const. Class field, because Risk Grade is one of the criteria that impact the validation.",[Quest-5555][INSBBOS-61][UAT] #Defect 03: Unable to renew policy,UAT
INSBBOS-139,240793,Closed,17/Oct/22 5:25 PM,19/Oct/22 11:16 AM,,,C003602,19/Oct/22 11:16 AM,C003602,Program Error,UAT,INSBBOS-61,enhance renewal extraction program to re-calculate detariff info if missing.,"In production will have detariff case renewed from DIAMOND system and cause missing detariff info.
missing detariff info will cause system not able to calculate premium correctly.",[Quest-5555][INSBBOS-61][UAT] #Defect 02: Incorrect gross premium,UAT
INSBBOS-138,240792,Closed,17/Oct/22 5:22 PM,18/Oct/22 11:41 AM,,,C003602,18/Oct/22 11:41 AM,C003602,Program Error,UAT,INSBBOS-61,assign to correct version of gross premium to calculate service tax,"system will capture different version of gross premium for calculation / comparison purpose, ie. latest GP, old GP, by different GP.
different version GP will impact the amount of service tax.",[Quest-5555][INSBBOS-61][UAT] #Defect 01: Incorrect Service tax and commission ,UAT
INSBFOS-351,234586,Closed,04/Oct/22 9:31 AM,29/Nov/22 11:19 AM,,,453228,17/Oct/22 11:01 AM,C003999,Others,UAT,INSBFOS-56,have changed program logic to fetch proxy details in PAPTV,"Motor PTV proxy was set by default during motor cover note generation
and also proxy details master table data might be having difference between UAT/Regression database",[QUEST-4130][INSBFOS-56]Defect 01:ISM connection down in Regression,Operation Readiness Test (ORT)
INSBBOS-109,228015,Closed,20/Sep/22 12:05 PM,29/Sep/22 2:29 PM,,,C003999,22/Sep/22 11:01 AM,461632,Others,UAT,INSBBOS-89,,,[QUEST-5323/INSBBOS-89]Defect 02: Missing Bank Branch code at Bank Ref No field. & Wrongly Coverage Type Setup,UAT
INSBBOS-128,224829,Closed,15/Sep/22 5:09 PM,05/Oct/22 8:44 AM,,,461632,20/Sep/22 5:37 PM,461632,Program Error,UAT,INSBBOS-89,The issue is due to patch script prepared for cover details table is not match with the Product setup. I have corrected the patch script and executed in Regression database,The issue is due to patch script prepared for cover details table is not match with the Product setup,[QUEST-5323/INSBBOS-89] Defect 01: prestige PA integration error from Diamond to GIS,UAT
INSBFOS-322,223380,Closed,14/Sep/22 10:35 AM,29/Nov/22 11:19 AM,,,C003999,28/Sep/22 12:17 PM,C003999,Program Error,UAT,INSBFOS-56,"Root Cause: typo in field name cause runtime error.
Solution: rectify typo with correct field name.",,[QUEST-4130][INSBFOS-56]Defect 12 : GIS Encountered the error to add the payee details before perform the manual refund,UAT
INSBFOS-300,219695,Rejected,06/Sep/22 11:33 AM,16/Aug/23 9:54 PM,,,453228,21/Sep/22 9:02 AM,C003999,Others,UAT,INSBFOS-56,"This is not an issue as ISM had enhanced their system to deduct the minimum premium (RM 5) from their end during confirmation services. Hence, it will have premium mismatch message return from ISM",,[QUEST-4130][INSBFOS-56]Defect 11 : Diamond - Incorrect total amount when make payment via payment submission or upfront(TS03),UAT
INSBFOS-299,219659,Closed,06/Sep/22 10:39 AM,29/Nov/22 11:18 AM,,,453228,21/Sep/22 9:02 AM,C003999,Program Error,UAT,INSBFOS-56,Code has been changed now able to generate Cover note in refer risk approval,"In Refer Risk scenario PTV Eligible indicator is set as null so, unable to display and save PTV detail's in approval screen",[QUEST-4130][INSBFOS-56]Defect 10 : Diamond -Missing the PTV details from the refer risk approval(TS25),UAT
INSBFOS-290,218452,Closed,02/Sep/22 10:00 AM,29/Nov/22 11:18 AM,,,453228,21/Sep/22 5:40 PM,C003999,Program Error,UAT,INSBFOS-56,Code has been changed now able to generate Renewal PAPTV Cover note,"In existing code confirmation call request State Desc parameter is send null in Renewal convert to Cover note case so, unable to generate Renewal PAPTV Cover note",[QUEST-4130][INSBFOS-56]Defect 09 : TS08 - Encountered the error unable convert to cover note during the quotation renewal,UAT
INSBFOS-289,218421,Closed,02/Sep/22 9:36 AM,29/Nov/22 11:18 AM,,,453228,21/Sep/22 9:02 AM,C003999,Program Error,UAT,INSBFOS-56,Code has been changed now able to generate Renewal PAPTV Cover note,"In existing code confirmation call request State Desc parameter is send null in Renewal convert to Cover note case so, unable to generate Renewal PAPTV Cover note",[QUEST-4130][INSBFOS-56]Defect 08 : Diamond is not picking up CN after integration from GIS during renewal transaction,UAT
INSBFOS-288,218412,Closed,02/Sep/22 9:27 AM,29/Nov/22 11:18 AM,,,453228,21/Sep/22 9:01 AM,C003999,Program Error,UAT,INSBFOS-56,Added the column 'VCH_CANCEL_IND' in the procedure used to list PA renewal cover note details in Policy Enquiry,The 'VCH_CANCEL_IND' column is referred in DAO whereas not retrieved in the package which causes the exception,[QUEST-4130][INSBFOS-56]Defect 07 : Diamond is not picking up CN after integration from GIS,UAT
INSBFOS-287,218403,Closed,02/Sep/22 9:16 AM,29/Nov/22 11:18 AM,,,453228,21/Sep/22 9:00 AM,C003999,Program Error,UAT,INSBFOS-56,Condition has been changed now able to display correct payment type in print,"In upfront payment, payment Indicator is wrongly sent so, it displays nett payment in print",[QUEST-4130][INSBFOS-56]Defect 06 : Pay by gross and Diamond PTV amount issued,UAT
INSBFOS-286,218399,Closed,02/Sep/22 9:10 AM,29/Nov/22 11:18 AM,,,453228,21/Sep/22 9:00 AM,C003999,Program Error,UAT,INSBFOS-56,Diamond to alter the table column to the correct label name,Diamond added the new table column name mismatch with GIS integration targeted table name.,[QUEST-4130][INSBFOS-56]Defect 05: PTV voucher number and amount missing in GIS screen,UAT
INSBFOS-283,214730,Closed,24/Aug/22 10:32 AM,29/Nov/22 11:18 AM,,,453228,21/Sep/22 9:00 AM,C003999,Program Error,UAT,INSBFOS-56,Condition has been changed now able to display Ptv Voucher No in policy schedule print,"In existing code cover note status id is wrongly checked so, unable to display Ptv Voucher No in policy schedule print",[QUEST-4130][INSBFOS-56]Defect 04: PTV voucher number missing on the policy schedule when payment has been submitted,UAT
INSBBOS-82,213928,New,22/Aug/22 1:01 PM,22/Aug/22 1:02 PM,,,401181,,407699,Program Error,Production,,,,[Production Support] undeclared payment report didn’t loadall the undeclared endorsement cn ,
INSBFOS-269,213342,Closed,19/Aug/22 10:59 AM,29/Nov/22 11:18 AM,,,453228,24/Aug/22 9:44 AM,C003999,Others,UAT,INSBFOS-56,No fixes apply,"Suspect due to network connection break a the moment, 
e-Policy printed as usual after retried.", [QUEST-4130][INSBFOS-56]Defect 03: Unable to generate the epolicy with PTV case,UAT
INSBFOS-252,211906,Closed,17/Aug/22 1:52 PM,29/Nov/22 11:18 AM,,,453228,14/Sep/22 9:58 AM,C003999,Program Error,UAT,INSBFOS-56,Program code fixed and released by kgisl-offshore(vendor),In existing code confirmation call request product code and business class code is wrongly checked so unable to generate PAPTV Cover note,[QUEST-4130][INSBFOS-56]Defect 02: Unable to convert to covernote with PTV when make the payment,UAT
INSBBOS-72,211375,New,17/Aug/22 8:04 AM,17/Aug/22 8:04 AM,,,401181,,407699,Program Error,Production,,,,[Production Support] Agent unable to check float balance in diamond system ,
INSBFOS-248,210327,Closed,15/Aug/22 11:54 AM,29/Nov/22 11:17 AM,,,453228,24/Aug/22 9:47 AM,C003999,Infrastructure Error,UAT,INSBFOS-56,"1. Issue isn't due to firewall blocked
2. Setup for FIPs management configuration + set TLSv1.2
3. Add [DigiCert TLS RSA] in WebSphere
4. Add [ISM Cert] in WenSphere
5. Add [ISM Cert] in cacerts ","Due to 121:9445 never use ISM real-time before
therefore, parent certification and child certificate are not exists in the WebSphere console + cacerts file.",[QUEST-4130][INSBFOS-56]Defect 01:ISM connection down ,UAT
INSBFOS-141,204163,New,01/Aug/22 11:32 AM,29/Nov/22 11:18 AM,,,407424,,406803,Program Error,Production,,,,[production support] Add on benefits for Pos Malaysia,
INSBFOS-139,203290,Review In progress,29/Jul/22 11:09 AM,29/Nov/22 11:19 AM,,,401181,,198753,Data Error,Production,,,,Production Support - PG1008110M - HAZRINAZ - Double Payment Record in Diamond ,
INSBFOS-138,203000,Review In progress,28/Jul/22 4:18 PM,10/Apr/23 2:40 PM,,,199622,,199622,Program Error,Production,,,,Marine Cargo - Sum insured becomes incorrect in GIS,UAT
INSBBOS-48,202993,New,28/Jul/22 4:12 PM,09/Aug/22 11:24 AM,,,401181,,199622,Program Error,,,,,EGL files for April 2022,
INSBFOS-135,202778,New,28/Jul/22 10:44 AM,29/Nov/22 11:18 AM,,,401181,,199622,Program Error,Production,,,,All MAX PA policies not invited ,
INSBFOS-133,202590,New,27/Jul/22 4:09 PM,29/Nov/22 11:19 AM,,,401181,,199622,Program Error,,,,,Policy issued in diamond system doesn’t reflect the alias code to Tera Term,
INSBBOS-46,202265,New,26/Jul/22 4:52 PM,26/Jul/22 4:52 PM,,,401181,,199622,Program Error,Production,,,,QUOTA SHARE ATP/ ATSM,
INSBFOS-128,201857,Closed,25/Jul/22 5:03 PM,29/Nov/22 11:18 AM,,,453228,26/Jul/22 12:27 PM,199622,Program Error,Production,,Insert the alter script to alter table column length,table column length not enough and caused transaction not able to insert.,To fix Diamond motor integration issue for the payment master integration failure due to database column large not enough,
INSBBOS-31,199531,New,19/Jul/22 9:46 AM,19/Jul/22 9:46 AM,,,401181,,407699,,Production,,,,[Production Support] Request for API Additional Documents and Server Whitelist Request,
